Segment,BatchName,FacilityName,FacilityMnemonic,BatchVolumeInPipeline,BatchVolumeInSegment,BatchVolume,Shipper,ReceiptFacility,DeliveryFacility,ScadaCommodityCode,Commodity,IntervalStartDateTime,IntervalEndDateTime
Keystone,CDB/5057/0,Crandall Pump Station - (Future),CRNDL-SYN,14452.59,11263,15899,Phillips 66 Co,Enbridge HCT,WRB Terminal,CDB5,CDB,12/5/2018 4:00,12/5/2018 5:00
Keystone,CDB/5052/0,Crandall Pump Station - (Future),CRNDL-SYN,16007.15,1036,15899,Phillips 66 Co,Gibson Terminal,WRB Terminal,CDB5,CDB,12/5/2018 5:00,12/5/2018 6:00
Keystone,CDB/5052/0,Crandall Pump Station - (Future),CRNDL-SYN,16007.15,5495,15899,Phillips 66 Co,Gibson Terminal,WRB Terminal,CDB5,CDB,12/5/2018 6:00,12/5/2018 7:00
Keystone,CDB/5052/0,Crandall Pump Station - (Future),CRNDL-SYN,16007.15,9756,15899,Phillips 66 Co,Gibson Terminal,WRB Terminal,CDB5,CDB,12/5/2018 7:00,12/5/2018 8:00
Keystone,CDB/5052/0,Crandall Pump Station - (Future),CRNDL-SYN,16007.15,14284,15899,Phillips 66 Co,Gibson Terminal,WRB Terminal,CDB5,CDB,12/5/2018 8:00,12/5/2018 9:00
Keystone,FRB/0307/0,Crandall Pump Station - (Future),CRNDL-SYN,27064.55,1921,20505,Phillips 66 Co,Enbridge HCT,WRB Terminal,FRB5,FRB,12/5/2018 9:00,12/5/2018 10:00
Keystone,FRB/0307/0,Crandall Pump Station - (Future),CRNDL-SYN,27064.55,5060,20505,Phillips 66 Co,Enbridge HCT,WRB Terminal,FRB5,FRB,12/5/2018 10:00,12/5/2018 11:00
Keystone,FRB/0307/0,Crandall Pump Station - (Future),CRNDL-SYN,27064.55,8116,20505,Phillips 66 Co,Enbridge HCT,WRB Terminal,FRB5,FRB,12/5/2018 11:00,12/5/2018 12:00
Keystone,FRB/0307/0,Crandall Pump Station - (Future),CRNDL-SYN,27064.55,11297,20505,Phillips 66 Co,Enbridge HCT,WRB Terminal,FRB5,FRB,12/5/2018 12:00,12/5/2018 13:00
Keystone,FRB/0307/0,Crandall Pump Station - (Future),CRNDL-SYN,27064.55,14466,20505,Phillips 66 Co,Enbridge HCT,WRB Terminal,FRB5,FRB,12/5/2018 13:00,12/5/2018 14:00
Keystone,FRB/0307/0,Crandall Pump Station - (Future),CRNDL-SYN,27064.55,17698,20505,Phillips 66 Co,Enbridge HCT,WRB Terminal,FRB5,FRB,12/5/2018 14:00,12/5/2018 15:00
Keystone,FRB/0308/0,Crandall Pump Station - (Future),CRNDL-SYN,7165.38,644,15899,Suncor Energy Mktg,Gibson West,Plains Cushing,FRB5,FRB,12/5/2018 15:00,12/5/2018 16:00
Keystone,FRB/0307/0,Crandall Pump Station - (Future),CRNDL-SYN,27064.55,24111,20505,Phillips 66 Co,Enbridge HCT,WRB Terminal,FRB5,FRB,12/5/2018 16:00,12/5/2018 17:00
Keystone,CDB/5056/0,Crandall Pump Station - (Future),CRNDL-SYN,18649.43,242,25782,Phillips 66 Co,Gibson Terminal,WRB Terminal,CDB5,CDB,12/5/2018 17:00,12/5/2018 18:00
Keystone,CDB/5056/0,Crandall Pump Station - (Future),CRNDL-SYN,18649.43,3341,25782,Phillips 66 Co,Gibson Terminal,WRB Terminal,CDB5,CDB,12/5/2018 18:00,12/5/2018 19:00
Keystone,CDB/5056/0,Crandall Pump Station - (Future),CRNDL-SYN,18649.43,7205,25782,Phillips 66 Co,Gibson Terminal,WRB Terminal,CDB5,CDB,12/5/2018 19:00,12/5/2018 20:00
Keystone,CDB/5056/0,Crandall Pump Station - (Future),CRNDL-SYN,18649.43,10285,25782,Phillips 66 Co,Gibson Terminal,WRB Terminal,CDB5,CDB,12/5/2018 20:00,12/5/2018 21:00
Keystone,CDB/5056/0,Crandall Pump Station - (Future),CRNDL-SYN,18649.43,13427,25782,Phillips 66 Co,Gibson Terminal,WRB Terminal,CDB5,CDB,12/5/2018 21:00,12/5/2018 22:00
Keystone,CDB/5056/0,Crandall Pump Station - (Future),CRNDL-SYN,18649.43,16912,25782,Phillips 66 Co,Gibson Terminal,WRB Terminal,CDB5,CDB,12/5/2018 22:00,12/5/2018 23:00
Keystone,CL/5702/0,Crandall Pump Station - (Future),CRNDL-SYN,22827.64,2462,15971,Husky Mktg & Supply,Enbridge HCT,Enbridge Cushing,CL5,CL,12/5/2018 23:00,12/6/2018 0:00
Keystone,CL/5702/0,Crandall Pump Station - (Future),CRNDL-SYN,22827.64,6807,15971,Husky Mktg & Supply,Enbridge HCT,Enbridge Cushing,CL5,CL,12/6/2018 0:00,12/6/2018 1:00
Keystone,CL/5702/0,Crandall Pump Station - (Future),CRNDL-SYN,22827.64,10581,15971,Husky Mktg & Supply,Enbridge HCT,Enbridge Cushing,CL5,CL,12/6/2018 1:00,12/6/2018 2:00
Keystone,CL/5702/0,Crandall Pump Station - (Future),CRNDL-SYN,22827.64,14626,15971,Husky Mktg & Supply,Enbridge HCT,Enbridge Cushing,CL5,CL,12/6/2018 2:00,12/6/2018 3:00
Keystone,CL/5702/0,Crandall Pump Station - (Future),CRNDL-SYN,22827.64,18716,15971,Husky Mktg & Supply,Enbridge HCT,Enbridge Cushing,CL5,CL,12/6/2018 3:00,12/6/2018 4:00
Keystone,WCS/4149/0,Crandall Pump Station - (Future),CRNDL-SYN,19662.33,103,19431,Vitol Inc.,Husky Terminal,Enbridge Cushing,WCS5,WCS,12/6/2018 4:00,12/6/2018 5:00
Keystone,WCS/4149/0,Crandall Pump Station - (Future),CRNDL-SYN,19662.33,3442,19431,Vitol Inc.,Husky Terminal,Enbridge Cushing,WCS5,WCS,12/6/2018 5:00,12/6/2018 6:00
Keystone,WCS/4149/0,Crandall Pump Station - (Future),CRNDL-SYN,19662.33,7011,19431,Vitol Inc.,Husky Terminal,Enbridge Cushing,WCS5,WCS,12/6/2018 6:00,12/6/2018 7:00
Keystone,WCS/4149/0,Crandall Pump Station - (Future),CRNDL-SYN,19662.33,10733,19431,Vitol Inc.,Husky Terminal,Enbridge Cushing,WCS5,WCS,12/6/2018 7:00,12/6/2018 8:00
Keystone,WCS/4149/0,Crandall Pump Station - (Future),CRNDL-SYN,19662.33,14666,19431,Vitol Inc.,Husky Terminal,Enbridge Cushing,WCS5,WCS,12/6/2018 8:00,12/6/2018 9:00
Keystone,WCS/4149/0,Crandall Pump Station - (Future),CRNDL-SYN,19662.33,18779,19431,Vitol Inc.,Husky Terminal,Enbridge Cushing,WCS5,WCS,12/6/2018 9:00,12/6/2018 10:00
Keystone,FRB/0326/0,Crandall Pump Station - (Future),CRNDL-SYN,16083.94,3031,15899,Suncor Energy Mktg,Gibson West,Enterprise Appelt Terminal,FRB5,FRB,12/6/2018 10:00,12/6/2018 11:00
Keystone,FRB/0326/0,Crandall Pump Station - (Future),CRNDL-SYN,16083.94,7049,15899,Suncor Energy Mktg,Gibson West,Enterprise Appelt Terminal,FRB5,FRB,12/6/2018 11:00,12/6/2018 12:00
Keystone,FRB/0326/0,Crandall Pump Station - (Future),CRNDL-SYN,16083.94,10567,15899,Suncor Energy Mktg,Gibson West,Enterprise Appelt Terminal,FRB5,FRB,12/6/2018 12:00,12/6/2018 13:00
Keystone,FRB/0326/0,Crandall Pump Station - (Future),CRNDL-SYN,16083.94,14459,15899,Suncor Energy Mktg,Gibson West,Enterprise Appelt Terminal,FRB5,FRB,12/6/2018 13:00,12/6/2018 14:00
Keystone,FRB/0343/0,Crandall Pump Station - (Future),CRNDL-SYN,15609.45,2679,15481,ExxonMobil Oil Corp,Gibson West,TCT Houston,FRB5,FRB,12/6/2018 14:00,12/6/2018 15:00
Keystone,FRB/0343/0,Crandall Pump Station - (Future),CRNDL-SYN,15609.45,6908,15481,ExxonMobil Oil Corp,Gibson West,TCT Houston,FRB5,FRB,12/6/2018 15:00,12/6/2018 16:00
Keystone,FRB/0343/0,Crandall Pump Station - (Future),CRNDL-SYN,15609.45,11204,15481,ExxonMobil Oil Corp,Gibson West,TCT Houston,FRB5,FRB,12/6/2018 16:00,12/6/2018 17:00
Keystone,FRB/0343/0,Crandall Pump Station - (Future),CRNDL-SYN,15609.45,15529,15481,ExxonMobil Oil Corp,Gibson West,TCT Houston,FRB5,FRB,12/6/2018 17:00,12/6/2018 18:00
Keystone,FRB/0306/0,Crandall Pump Station - (Future),CRNDL-SYN,15932.21,3534,15899,Phillips 66 Co,Gibson Terminal,Plains Cushing,FRB5,FRB,12/6/2018 18:00,12/6/2018 19:00
Keystone,FRB/0306/0,Crandall Pump Station - (Future),CRNDL-SYN,15932.21,7010,15899,Phillips 66 Co,Gibson Terminal,Plains Cushing,FRB5,FRB,12/6/2018 19:00,12/6/2018 20:00
Keystone,FRB/0306/0,Crandall Pump Station - (Future),CRNDL-SYN,15932.21,10631,15899,Phillips 66 Co,Gibson Terminal,Plains Cushing,FRB5,FRB,12/6/2018 20:00,12/6/2018 21:00
Keystone,FRB/0306/0,Crandall Pump Station - (Future),CRNDL-SYN,15932.21,14589,15899,Phillips 66 Co,Gibson Terminal,Plains Cushing,FRB5,FRB,12/6/2018 21:00,12/6/2018 22:00
Keystone,BHB/0720/0,Crandall Pump Station - (Future),CRNDL-SYN,18845.6,3000,18000,Suncor Energy Mktg,Gibson Terminal,Plains Cushing,BHB5,BHB,12/6/2018 22:00,12/6/2018 23:00
Keystone,BHB/0720/0,Crandall Pump Station - (Future),CRNDL-SYN,18845.6,7299,18000,Suncor Energy Mktg,Gibson Terminal,Plains Cushing,BHB5,BHB,12/6/2018 23:00,12/7/2018 0:00
Keystone,BHB/0720/0,Crandall Pump Station - (Future),CRNDL-SYN,18845.6,11686,18000,Suncor Energy Mktg,Gibson Terminal,Plains Cushing,BHB5,BHB,12/7/2018 0:00,12/7/2018 1:00
Keystone,BHB/0720/0,Crandall Pump Station - (Future),CRNDL-SYN,18845.6,16118,18000,Suncor Energy Mktg,Gibson Terminal,Plains Cushing,BHB5,BHB,12/7/2018 1:00,12/7/2018 2:00
Keystone,SMA/0211/0,Crandall Pump Station - (Future),CRNDL-SYN,15068.62,1305,15899,Phillips 66 Co,Enbridge HCT,WRB Terminal,SMA5,SMA,12/7/2018 2:00,12/7/2018 3:00
Keystone,SMA/0211/0,Crandall Pump Station - (Future),CRNDL-SYN,15068.62,5621,15899,Phillips 66 Co,Enbridge HCT,WRB Terminal,SMA5,SMA,12/7/2018 3:00,12/7/2018 4:00
Keystone,SMA/0211/0,Crandall Pump Station - (Future),CRNDL-SYN,15068.62,9916,15899,Phillips 66 Co,Enbridge HCT,WRB Terminal,SMA5,SMA,12/7/2018 4:00,12/7/2018 5:00
Keystone,SMA/0211/0,Crandall Pump Station - (Future),CRNDL-SYN,15068.62,14403,15899,Phillips 66 Co,Enbridge HCT,WRB Terminal,SMA5,SMA,12/7/2018 5:00,12/7/2018 6:00
Keystone,BR/0267/0,Crandall Pump Station - (Future),CRNDL-SYN,17514.04,3461,15898,Phillips 66 Co,Gibson Terminal,Plains Cushing,BR5,BR,12/7/2018 6:00,12/7/2018 7:00
Keystone,BR/0267/0,Crandall Pump Station - (Future),CRNDL-SYN,17514.04,7804,15898,Phillips 66 Co,Gibson Terminal,Plains Cushing,BR5,BR,12/7/2018 7:00,12/7/2018 8:00
Keystone,BR/0267/0,Crandall Pump Station - (Future),CRNDL-SYN,17514.04,12095,15898,Phillips 66 Co,Gibson Terminal,Plains Cushing,BR5,BR,12/7/2018 8:00,12/7/2018 9:00
Keystone,BR/0267/0,Crandall Pump Station - (Future),CRNDL-SYN,17514.04,16320,15898,Phillips 66 Co,Gibson Terminal,Plains Cushing,BR5,BR,12/7/2018 9:00,12/7/2018 10:00
Keystone,BHB/0725/0,Crandall Pump Station - (Future),CRNDL-SYN,16063.69,3063,15899,Suncor Energy Mktg,Gibson West,Sunoco Nederland,BHB5,BHB,12/7/2018 10:00,12/7/2018 11:00
Keystone,BHB/0725/0,Crandall Pump Station - (Future),CRNDL-SYN,16063.69,7326,15899,Suncor Energy Mktg,Gibson West,Sunoco Nederland,BHB5,BHB,12/7/2018 11:00,12/7/2018 12:00
Keystone,BHB/0725/0,Crandall Pump Station - (Future),CRNDL-SYN,16063.69,11442,15899,Suncor Energy Mktg,Gibson West,Sunoco Nederland,BHB5,BHB,12/7/2018 12:00,12/7/2018 13:00
Keystone,BHB/0725/0,Crandall Pump Station - (Future),CRNDL-SYN,16063.69,14960,15899,Suncor Energy Mktg,Gibson West,Sunoco Nederland,BHB5,BHB,12/7/2018 13:00,12/7/2018 14:00
Keystone,FRB/0327/0,Crandall Pump Station - (Future),CRNDL-SYN,16059.13,2440,15899,Suncor Energy Mktg,Enbridge HCT,Sunoco Nederland,FRB5,FRB,12/7/2018 14:00,12/7/2018 15:00
Keystone,FRB/0327/0,Crandall Pump Station - (Future),CRNDL-SYN,16059.13,6507,15899,Suncor Energy Mktg,Enbridge HCT,Sunoco Nederland,FRB5,FRB,12/7/2018 15:00,12/7/2018 16:00
Keystone,FRB/0327/0,Crandall Pump Station - (Future),CRNDL-SYN,16059.13,10832,15899,Suncor Energy Mktg,Enbridge HCT,Sunoco Nederland,FRB5,FRB,12/7/2018 16:00,12/7/2018 17:00
Keystone,FRB/0327/0,Crandall Pump Station - (Future),CRNDL-SYN,16059.13,15205,15899,Suncor Energy Mktg,Enbridge HCT,Sunoco Nederland,FRB5,FRB,12/7/2018 17:00,12/7/2018 18:00
Keystone,KH/1052/0,Crandall Pump Station - (Future),CRNDL-SYN,15685.32,3531,15471,ExxonMobil Oil Corp,Hardisty B Receipt,Sunoco Nederland,KH5,KH,12/7/2018 18:00,12/7/2018 19:00
Keystone,KH/1052/0,Crandall Pump Station - (Future),CRNDL-SYN,15685.32,7894,15471,ExxonMobil Oil Corp,Hardisty B Receipt,Sunoco Nederland,KH5,KH,12/7/2018 19:00,12/7/2018 20:00
Keystone,KH/1052/0,Crandall Pump Station - (Future),CRNDL-SYN,15685.32,12142,15471,ExxonMobil Oil Corp,Hardisty B Receipt,Sunoco Nederland,KH5,KH,12/7/2018 20:00,12/7/2018 21:00
Keystone,FRB/0332/0,Crandall Pump Station - (Future),CRNDL-SYN,15932.74,615,15899,Teck American,Gibson Terminal,Sunoco Nederland,FRB5,FRB,12/7/2018 21:00,12/7/2018 22:00
Keystone,FRB/0332/0,Crandall Pump Station - (Future),CRNDL-SYN,15932.74,4762,15899,Teck American,Gibson Terminal,Sunoco Nederland,FRB5,FRB,12/7/2018 22:00,12/7/2018 23:00
Keystone,FRB/0332/0,Crandall Pump Station - (Future),CRNDL-SYN,15932.74,9108,15899,Teck American,Gibson Terminal,Sunoco Nederland,FRB5,FRB,12/7/2018 23:00,12/8/2018 0:00
Keystone,FRB/0332/0,Crandall Pump Station - (Future),CRNDL-SYN,15932.74,13462,15899,Teck American,Gibson Terminal,Sunoco Nederland,FRB5,FRB,12/8/2018 0:00,12/8/2018 1:00
Keystone,CL/5726/0,Crandall Pump Station - (Future),CRNDL-SYN,15996.52,1052,15955,CHS McPherson,Gibson Terminal,Plains Cushing,CL5,CL,12/8/2018 1:00,12/8/2018 2:00
Keystone,CL/5726/0,Crandall Pump Station - (Future),CRNDL-SYN,15996.52,5133,15955,CHS McPherson,Gibson Terminal,Plains Cushing,CL5,CL,12/8/2018 2:00,12/8/2018 3:00
Keystone,CL/5726/0,Crandall Pump Station - (Future),CRNDL-SYN,15996.52,9492,15955,CHS McPherson,Gibson Terminal,Plains Cushing,CL5,CL,12/8/2018 3:00,12/8/2018 4:00
Keystone,CL/5726/0,Crandall Pump Station - (Future),CRNDL-SYN,15996.52,13698,15955,CHS McPherson,Gibson Terminal,Plains Cushing,CL5,CL,12/8/2018 4:00,12/8/2018 5:00
Keystone,CL/5752/0,Crandall Pump Station - (Future),CRNDL-SYN,17885.19,2053,16000,Husky Mktg & Supply,Enbridge HCT,Enbridge Cushing,CL5,CL,12/8/2018 5:00,12/8/2018 6:00
Keystone,CL/5752/0,Crandall Pump Station - (Future),CRNDL-SYN,17885.19,6250,16000,Husky Mktg & Supply,Enbridge HCT,Enbridge Cushing,CL5,CL,12/8/2018 6:00,12/8/2018 7:00
Keystone,CL/5752/0,Crandall Pump Station - (Future),CRNDL-SYN,17885.19,10555,16000,Husky Mktg & Supply,Enbridge HCT,Enbridge Cushing,CL5,CL,12/8/2018 7:00,12/8/2018 8:00
Keystone,CL/5752/0,Crandall Pump Station - (Future),CRNDL-SYN,17885.19,14749,16000,Husky Mktg & Supply,Enbridge HCT,Enbridge Cushing,CL5,CL,12/8/2018 8:00,12/8/2018 9:00
Keystone,FRB/0344/0,Crandall Pump Station - (Future),CRNDL-SYN,25856.93,1099,22100,Phillips 66 Co,Gibson West,Plains Cushing,FRB5,FRB,12/8/2018 9:00,12/8/2018 10:00
Keystone,FRB/0344/0,Crandall Pump Station - (Future),CRNDL-SYN,25856.93,5359,22100,Phillips 66 Co,Gibson West,Plains Cushing,FRB5,FRB,12/8/2018 10:00,12/8/2018 11:00
Keystone,FRB/0344/0,Crandall Pump Station - (Future),CRNDL-SYN,25856.93,9615,22100,Phillips 66 Co,Gibson West,Plains Cushing,FRB5,FRB,12/8/2018 11:00,12/8/2018 12:00
Keystone,FRB/0344/0,Crandall Pump Station - (Future),CRNDL-SYN,25856.93,13330,22100,Phillips 66 Co,Gibson West,Plains Cushing,FRB5,FRB,12/8/2018 12:00,12/8/2018 13:00
Keystone,FRB/0344/0,Crandall Pump Station - (Future),CRNDL-SYN,25856.93,16783,22100,Phillips 66 Co,Gibson West,Plains Cushing,FRB5,FRB,12/8/2018 13:00,12/8/2018 14:00
Keystone,FRB/0344/0,Crandall Pump Station - (Future),CRNDL-SYN,25856.93,20756,22100,Phillips 66 Co,Gibson West,Plains Cushing,FRB5,FRB,12/8/2018 14:00,12/8/2018 15:00
Keystone,FRB/0344/0,Crandall Pump Station - (Future),CRNDL-SYN,25856.93,25133,22100,Phillips 66 Co,Gibson West,Plains Cushing,FRB5,FRB,12/8/2018 15:00,12/8/2018 16:00
Keystone,PDH/0024/0,Crandall Pump Station - (Future),CRNDL-SYN,16741.62,3158,16463,HollyFrontier,Enbridge HCT,Plains Cushing,PDH5,PDH,12/8/2018 16:00,12/8/2018 17:00
Keystone,PDH/0024/0,Crandall Pump Station - (Future),CRNDL-SYN,16741.62,7272,16463,HollyFrontier,Enbridge HCT,Plains Cushing,PDH5,PDH,12/8/2018 17:00,12/8/2018 18:00
Keystone,PDH/0024/0,Crandall Pump Station - (Future),CRNDL-SYN,16741.62,11639,16463,HollyFrontier,Enbridge HCT,Plains Cushing,PDH5,PDH,12/8/2018 18:00,12/8/2018 19:00
Keystone,PDH/0024/0,Crandall Pump Station - (Future),CRNDL-SYN,16741.62,15903,16463,HollyFrontier,Enbridge HCT,Plains Cushing,PDH5,PDH,12/8/2018 19:00,12/8/2018 20:00
Keystone,FRB/0353/0,Crandall Pump Station - (Future),CRNDL-SYN,16507.55,3329,16446.5,Teck American,Gibson Terminal,Sunoco Nederland,FRB5,FRB,12/8/2018 20:00,12/8/2018 21:00
Keystone,FRB/0353/0,Crandall Pump Station - (Future),CRNDL-SYN,16507.55,7665,16446.5,Teck American,Gibson Terminal,Sunoco Nederland,FRB5,FRB,12/8/2018 21:00,12/8/2018 22:00
Keystone,FRB/0353/0,Crandall Pump Station - (Future),CRNDL-SYN,16507.55,11845,16446.5,Teck American,Gibson Terminal,Sunoco Nederland,FRB5,FRB,12/8/2018 22:00,12/8/2018 23:00
Keystone,FRB/0353/0,Crandall Pump Station - (Future),CRNDL-SYN,16507.55,16199,16446.5,Teck American,Gibson Terminal,Sunoco Nederland,FRB5,FRB,12/8/2018 23:00,12/9/2018 0:00
Keystone,CL/5761/0,Crandall Pump Station - (Future),CRNDL-SYN,16877.13,4110,16475,Husky Mktg & Supply,Gibson Terminal,Plains Patoka,CL5,CL,12/9/2018 0:00,12/9/2018 1:00
Keystone,CL/5761/0,Crandall Pump Station - (Future),CRNDL-SYN,16877.13,8436,16475,Husky Mktg & Supply,Gibson Terminal,Plains Patoka,CL5,CL,12/9/2018 1:00,12/9/2018 2:00
